Thu Nov 16 16:50:30 2023
data_dict: {'mean': array([83.93362 , 92.55297 , 91.47328 , 74.63291 , 28.445953],
      dtype=float32), 'std': array([47.080837, 50.655468, 56.94334 , 49.649784, 10.984235],
      dtype=float32), 'classWeights': array([2.727278 , 2.19231  , 4.0622845], dtype=float32), 'img_shape': (512, 512, 5)}
epoch: 1 iter: 76 train_iter_loss: 0.185283 learn_rate: 0.001000 
epoch: 1 iter: 77 train_iter_loss: 0.190143 learn_rate: 0.001000 
epoch: 1 iter: 78 train_iter_loss: 0.177085 learn_rate: 0.001000 
epoch: 1 train_epoch_loss: 0.218173 learn_rate: 0.001000 test_p: 0.513366 test_r: 0.492257 test_f: 0.490839
epoch: 2 iter: 1 train_iter_loss: 0.195554 learn_rate: 0.001000 
epoch: 2 iter: 2 train_iter_loss: 0.182208 learn_rate: 0.001000 
epoch: 2 iter: 3 train_iter_loss: 0.188801 learn_rate: 0.001000 
epoch: 2 iter: 4 train_iter_loss: 0.166161 learn_rate: 0.001000 
epoch: 2 iter: 5 train_iter_loss: 0.222772 learn_rate: 0.001000 
epoch: 2 iter: 6 train_iter_loss: 0.213058 learn_rate: 0.001000 
epoch: 2 iter: 7 train_iter_loss: 0.202637 learn_rate: 0.001000 
epoch: 2 iter: 8 train_iter_loss: 0.221107 learn_rate: 0.001000 
epoch: 2 iter: 9 train_iter_loss: 0.237491 learn_rate: 0.001000 
epoch: 2 iter: 10 train_iter_loss: 0.241322 learn_rate: 0.001000 
epoch: 2 iter: 11 train_iter_loss: 0.238871 learn_rate: 0.001000 
epoch: 2 iter: 12 train_iter_loss: 0.239958 learn_rate: 0.001000 
epoch: 2 iter: 13 train_iter_loss: 0.219093 learn_rate: 0.001000 
epoch: 2 iter: 14 train_iter_loss: 0.216924 learn_rate: 0.001000 
epoch: 2 iter: 15 train_iter_loss: 0.234145 learn_rate: 0.001000 
epoch: 2 iter: 16 train_iter_loss: 0.229992 learn_rate: 0.001000 
epoch: 2 iter: 17 train_iter_loss: 0.221779 learn_rate: 0.001000 
epoch: 2 iter: 18 train_iter_loss: 0.204608 learn_rate: 0.001000 
epoch: 2 iter: 19 train_iter_loss: 0.211592 learn_rate: 0.001000 
epoch: 2 iter: 20 train_iter_loss: 0.200660 learn_rate: 0.001000 
epoch: 2 iter: 21 train_iter_loss: 0.318410 learn_rate: 0.001000 
epoch: 2 iter: 22 train_iter_loss: 0.296581 learn_rate: 0.001000 
epoch: 2 iter: 23 train_iter_loss: 0.285891 learn_rate: 0.001000 
epoch: 2 iter: 24 train_iter_loss: 0.272777 learn_rate: 0.001000 
epoch: 2 iter: 25 train_iter_loss: 0.307499 learn_rate: 0.001000 
epoch: 2 iter: 26 train_iter_loss: 0.275991 learn_rate: 0.001000 
epoch: 2 iter: 27 train_iter_loss: 0.298496 learn_rate: 0.001000 
epoch: 2 iter: 28 train_iter_loss: 0.294614 learn_rate: 0.001000 
